"","forcedchoice","fox","msnbc","entertainment","med_pref","med_choice","actions_discuss","fair_4","friendly_4","good_4","quarrel_4","balanced_4","oneside_4","american_4","accurate_4","party1","party4"
"252",0,NA,NA,NA,4,4,3,5,5,4,4,3,3,3,3,3,3
"253",0,NA,NA,NA,4,4,3,3,1,2,6,3,5,2,6,3,2
"254",1,NA,NA,1,4,NA,4,4,4,4,4,4,4,5,4,3,2
"255",0,NA,NA,NA,4,4,3,3,3,3,4,3,5,3,3,1,NA
"256",0,NA,NA,NA,3,3,4,3,1,3,7,3,5,4,1,1,NA
"257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",1,NA,1,NA,1,NA,4,5,4,4,4,4,1,4,5,4,1
"259",0,NA,NA,NA,2,2,4,4,4,4,4,4,4,4,4,1,NA
"260",1,1,NA,NA,4,NA,3,4,4,3,3,3,4,3,3,3,3
"261",1,NA,1,NA,3,NA,4,5,2,2,3,2,5,2,5,1,NA
"262",0,NA,NA,NA,2,2,3,3,4,1,4,3,5,3,1,1,NA
"263",1,NA,1,NA,2,NA,3,3,3,3,5,3,3,3,3,2,NA
"264",0,NA,NA,NA,1,1,2,1,5,1,3,3,4,1,1,3,1
"265",1,NA,1,NA,3,NA,4,4,4,4,3,4,5,4,4,3,3
"266",1,1,NA,NA,1,NA,2,3,4,4,2,4,4,3,3,2,NA
"267",1,NA,NA,1,1,NA,4,3,3,4,4,3,5,4,4,2,NA
"268",0,NA,NA,NA,3,1,2,2,1,2,2,2,1,2,2,1,NA
"269",1,1,NA,NA,4,NA,1,2,2,3,5,2,4,3,2,2,NA
"270",0,NA,NA,NA,3,3,4,4,3,4,3,4,4,3,4,3,3
"271",0,NA,NA,NA,1,1,3,2,4,1,3,5,6,1,7,1,NA
"272",1,1,NA,NA,1,NA,2,3,3,3,5,3,5,3,3,2,NA
"273",1,NA,NA,1,4,NA,4,4,4,4,4,4,4,4,4,3,2
"274",0,NA,NA,NA,3,3,3,2,1,1,7,4,4,2,3,1,NA
"275",0,NA,NA,NA,4,1,1,2,4,3,3,4,2,1,3,3,2
"276",1,NA,1,NA,1,NA,4,4,4,4,4,4,4,4,4,2,NA
"277",0,NA,NA,NA,1,1,2,2,4,2,1,5,3,3,5,2,NA
"278",1,NA,NA,1,1,NA,3,4,4,4,4,4,4,5,4,2,NA
"279",1,NA,NA,1,2,NA,3,4,5,5,3,5,5,5,3,1,NA
"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",1,1,NA,NA,4,NA,2,3,3,2,5,3,5,2,2,1,NA
