"","forcedchoice","fox","msnbc","entertainment","med_pref","med_choice","actions_discuss","fair_4","friendly_4","good_4","quarrel_4","balanced_4","oneside_4","american_4","accurate_4","party1","party4"
"671",0,NA,NA,NA,1,4,2,2,2,2,6,2,4,2,2,3,1
"672",1,NA,NA,1,2,NA,4,2,2,2,4,4,4,4,4,1,NA
"673",1,NA,NA,1,3,NA,1,3,2,1,6,2,5,1,3,3,3
"674",1,1,NA,NA,4,NA,2,2,1,2,3,3,5,1,2,3,3
"675",1,NA,NA,1,4,NA,3,4,5,4,3,5,5,6,3,1,NA
"676",1,1,NA,NA,2,NA,3,3,4,5,4,5,5,4,4,1,NA
"677",1,NA,1,NA,4,NA,2,2,4,2,4,2,5,1,3,1,NA
"678",1,NA,1,NA,1,NA,2,2,4,2,3,3,5,3,3,3,3
"679",1,NA,NA,1,4,NA,4,4,3,4,4,3,5,3,3,1,NA
"680",1,NA,1,NA,1,NA,3,5,4,5,3,5,3,4,5,2,NA
"681",0,NA,NA,NA,1,1,3,3,4,4,4,5,5,3,3,3,3
"682",1,NA,1,NA,4,NA,2,2,3,2,5,2,3,1,2,1,NA
"683",1,NA,1,NA,2,NA,3,3,2,3,2,2,3,2,3,1,NA
"684",1,1,NA,NA,4,NA,2,1,5,2,3,5,3,1,3,3,3
"685",1,NA,1,NA,3,NA,3,2,4,3,4,4,4,3,3,1,NA
"686",1,NA,NA,1,3,NA,3,1,1,3,6,1,1,4,2,1,NA
"687",0,NA,NA,NA,3,3,3,4,3,3,4,3,4,4,2,1,NA
"688",0,NA,NA,NA,4,4,4,1,1,2,5,2,7,4,1,3,2
"689",0,NA,NA,NA,2,2,4,3,3,3,2,3,5,3,4,3,2
"690",1,1,NA,NA,2,NA,1,7,5,6,2,7,1,1,6,1,NA
"691",1,NA,NA,1,1,NA,3,4,4,4,4,4,4,4,4,1,NA
"692",0,NA,NA,NA,1,3,2,4,2,1,6,6,3,6,4,3,2
"693",0,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,1,3,2
"694",0,NA,NA,NA,1,1,7,6,6,6,6,6,6,6,6,2,NA
"695",1,NA,1,NA,3,NA,4,2,4,3,3,3,5,2,2,3,3
"696",0,NA,NA,NA,2,4,1,2,3,3,3,1,3,2,3,1,NA
"697",1,NA,1,NA,1,NA,2,3,5,3,3,5,3,3,5,1,NA
"698",1,NA,NA,1,3,NA,2,NA,1,2,6,3,5,3,2,1,NA
"699",1,1,NA,NA,3,NA,4,4,3,4,4,4,4,4,4,3,3
"700",0,NA,NA,NA,4,2,2,7,5,4,2,7,1,4,5,3,1
"701",0,NA,NA,NA,1,1,4,3,4,3,3,5,4,2,3,3,1
"702",1,1,NA,NA,1,NA,4,5,5,5,3,5,3,3,5,1,NA
"703",1,NA,NA,1,4,NA,2,1,1,1,7,1,6,1,1,3,3
"704",1,NA,1,NA,4,NA,4,3,4,4,3,3,5,3,2,1,NA
"705",0,NA,NA,NA,1,1,2,2,1,2,2,1,1,2,2,1,NA
"706",0,NA,NA,NA,3,3,3,1,3,1,6,2,6,4,2,3,2
"707",0,NA,NA,NA,4,4,4,1,1,1,7,4,1,1,4,1,NA
"708",0,NA,NA,NA,4,3,2,2,2,2,1,1,1,2,1,1,NA
"709",0,NA,NA,NA,4,4,1,1,1,1,7,1,7,1,1,2,NA
"710",0,NA,NA,NA,4,1,1,6,5,6,2,5,2,5,2,2,NA
"711",1,1,NA,NA,4,NA,4,5,5,4,5,5,4,3,5,4,3
"712",0,NA,NA,NA,2,2,3,3,3,3,5,3,5,3,3,1,NA
"713",1,NA,NA,1,4,NA,3,3,3,2,5,3,4,5,3,1,NA
"714",0,NA,NA,NA,4,4,4,4,3,3,4,3,4,3,4,3,3
"715",1,1,NA,NA,2,NA,2,2,1,2,3,3,3,1,2,1,NA
"716",1,NA,1,NA,4,NA,3,3,3,3,2,3,3,3,3,3,3
"717",0,NA,NA,NA,2,1,3,3,5,3,3,5,3,1,4,1,NA
"718",1,NA,NA,1,3,NA,7,4,3,3,4,3,4,4,4,3,3
"719",0,NA,NA,NA,4,4,3,5,3,5,5,3,5,5,3,3,2
"720",1,NA,1,NA,4,NA,2,5,7,5,1,7,1,4,5,1,NA
"721",0,NA,NA,NA,4,4,2,3,5,2,3,6,6,5,3,4,3
"722",0,NA,NA,NA,4,4,4,3,3,3,5,3,5,1,2,2,NA
"723",0,NA,NA,NA,4,4,4,1,1,3,7,3,5,2,2,1,NA
"724",0,NA,NA,NA,4,4,3,2,2,3,6,2,6,1,2,1,NA
"725",1,NA,1,NA,2,NA,2,1,1,1,6,1,7,1,2,1,NA
"726",0,NA,NA,NA,2,1,2,2,2,2,1,3,1,1,2,1,NA
"727",0,NA,NA,NA,4,4,3,2,1,3,6,3,5,1,2,3,3
"728",1,NA,1,NA,1,NA,4,3,3,3,3,3,3,3,3,3,2
"729",1,NA,1,NA,4,NA,3,4,3,4,4,4,5,3,4,3,1
"730",0,NA,NA,NA,2,2,2,1,2,1,6,1,7,1,1,3,2
"731",1,NA,NA,1,4,NA,4,3,3,4,5,5,5,4,3,3,1
"732",1,NA,NA,1,3,NA,4,4,4,3,4,5,3,3,4,3,2
"733",0,NA,NA,NA,3,1,2,2,5,1,2,3,5,2,2,3,1
"734",1,NA,1,NA,3,NA,3,6,6,5,2,7,1,4,5,2,NA
"735",1,1,NA,NA,3,NA,7,5,6,1,2,4,2,1,4,4,3
"736",0,NA,NA,NA,4,4,3,4,4,5,4,4,4,4,5,1,NA
"737",0,NA,NA,NA,2,3,3,6,7,5,2,5,3,3,3,2,NA
"738",0,NA,NA,NA,3,4,4,2,3,3,3,3,5,6,3,3,3
"739",0,NA,NA,NA,1,1,4,3,4,4,4,4,3,4,4,2,NA
"740",1,1,NA,NA,2,NA,4,4,5,4,2,5,3,4,4,3,1
"741",0,NA,NA,NA,4,4,4,1,3,4,4,2,6,4,3,4,1
"742",0,NA,NA,NA,3,3,3,4,1,3,4,3,5,2,2,1,NA
"743",1,NA,1,NA,4,NA,2,2,3,3,2,3,5,1,2,2,NA
"744",1,NA,1,NA,4,NA,1,3,3,1,1,4,4,1,5,1,NA
"745",0,NA,NA,NA,1,1,1,2,1,3,2,3,4,1,2,1,NA
"746",0,NA,NA,NA,4,4,4,1,1,1,7,1,7,1,1,2,NA
"747",0,NA,NA,NA,2,2,4,4,5,4,3,5,4,4,3,3,2
"748",1,NA,NA,1,1,NA,2,4,4,4,4,4,4,4,4,1,NA
"749",1,1,NA,NA,3,NA,3,4,4,4,3,4,4,3,4,2,NA
"750",0,NA,NA,NA,2,2,3,3,2,2,3,3,4,3,2,1,NA
"751",1,NA,NA,1,1,NA,4,1,1,1,4,4,4,1,1,2,NA
"752",0,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,3,3
"753",1,NA,NA,1,3,NA,1,6,4,5,5,5,3,6,3,4,3
"754",1,NA,NA,1,4,NA,4,4,4,4,4,5,4,4,4,1,NA
"755",1,1,NA,NA,1,NA,4,4,3,3,4,3,5,3,4,2,NA
"756",1,NA,1,NA,2,NA,1,1,1,1,7,1,7,1,1,3,2
"757",1,1,NA,NA,4,NA,4,3,5,4,3,5,3,4,4,3,2
"758",0,NA,NA,NA,4,4,4,3,1,3,7,3,5,3,3,1,NA
"759",0,NA,NA,NA,1,1,3,2,4,4,5,3,4,2,2,2,NA
"760",0,NA,NA,NA,4,4,1,4,3,3,2,4,2,2,3,3,3
"761",1,NA,NA,1,1,NA,3,1,1,3,7,1,5,1,1,3,1
"762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763",1,NA,1,NA,3,NA,4,5,5,5,3,6,3,3,4,2,NA
"764",1,1,NA,NA,1,NA,2,3,3,3,5,2,4,5,3,2,NA
"765",1,NA,1,NA,4,NA,3,2,4,1,3,3,3,2,2,4,2
"766",1,NA,NA,1,4,NA,4,3,3,4,5,3,5,3,3,1,NA
"767",0,NA,NA,NA,1,4,3,3,3,3,5,3,5,4,3,3,1
"768",0,NA,NA,NA,4,4,3,4,2,1,4,1,7,1,1,3,3
"769",1,NA,NA,1,1,NA,3,3,2,2,4,3,5,4,4,1,NA
"770",0,NA,NA,NA,1,1,3,3,3,1,5,3,4,1,3,3,2
"771",0,NA,NA,NA,3,3,3,3,2,3,4,3,3,3,3,3,1
"772",0,NA,NA,NA,3,3,3,2,2,3,5,3,5,5,3,2,NA
"773",0,NA,NA,NA,4,1,1,1,1,1,1,1,1,1,2,1,NA
"774",0,NA,NA,NA,1,1,4,3,3,4,4,3,5,3,3,1,NA
"775",1,NA,NA,1,3,NA,4,4,3,3,5,4,5,3,3,2,NA
"776",1,NA,NA,1,1,NA,4,3,3,3,5,3,5,4,3,3,3
"777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778",1,1,NA,NA,1,NA,4,5,5,4,3,5,2,1,5,2,NA
"779",1,NA,1,NA,2,NA,3,4,4,3,2,3,3,3,4,1,NA
"780",1,1,NA,NA,4,NA,3,1,2,2,6,2,6,1,1,1,NA
"781",1,NA,1,NA,2,NA,7,3,4,2,4,4,3,2,3,1,NA
"782",0,NA,NA,NA,3,2,3,4,4,4,4,4,4,4,4,1,NA
"783",1,NA,1,NA,3,NA,2,3,2,2,3,2,5,1,1,1,NA
"784",1,NA,1,NA,1,NA,1,3,4,3,5,4,4,4,5,3,3
"785",1,1,NA,NA,3,NA,3,4,5,4,5,4,3,3,3,1,NA
"786",0,NA,NA,NA,4,4,2,1,1,1,7,1,5,1,1,3,1
"787",1,NA,NA,1,3,NA,1,2,3,3,6,3,5,2,2,1,NA
"788",1,NA,1,NA,2,NA,4,4,5,4,3,5,3,1,4,1,NA
"789",0,NA,NA,NA,4,4,4,4,2,3,4,3,4,3,4,2,NA
"790",0,NA,NA,NA,2,4,1,4,4,1,3,5,4,4,4,4,3
"791",0,NA,NA,NA,4,3,4,3,2,1,5,3,3,5,3,4,3
"792",0,NA,NA,NA,1,1,3,3,4,3,3,5,3,3,3,2,NA
"793",1,1,NA,NA,4,NA,3,7,3,5,2,5,4,6,6,2,NA
"794",0,NA,NA,NA,4,4,3,1,1,1,7,1,7,1,1,1,NA
"795",0,NA,NA,NA,4,4,4,5,5,6,5,3,6,7,4,3,2
"796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797",0,NA,NA,NA,1,1,3,3,5,6,3,3,5,2,3,1,NA
"798",1,1,NA,NA,4,NA,4,6,5,6,1,6,3,6,7,1,NA
"799",0,NA,NA,NA,4,4,3,2,2,2,6,3,5,2,3,1,NA
"800",1,NA,NA,1,1,NA,1,1,1,1,5,1,7,1,7,2,NA
"801",1,NA,1,NA,1,NA,2,3,2,3,2,2,3,3,2,1,NA
"802",0,NA,NA,NA,3,3,4,3,3,3,5,3,4,5,3,1,NA
"803",0,NA,NA,NA,3,3,4,3,2,5,6,3,2,5,3,1,NA
"804",0,NA,NA,NA,4,4,1,5,1,1,4,1,1,1,1,2,NA
"805",1,1,NA,NA,2,NA,3,3,5,4,4,3,5,3,3,1,NA
"806",1,NA,NA,1,4,NA,4,3,3,4,4,4,4,5,4,3,3
"807",0,NA,NA,NA,2,4,3,1,1,1,1,1,1,1,1,1,NA
"808",1,NA,NA,1,4,NA,3,3,3,4,5,3,4,3,3,3,1
"809",0,NA,NA,NA,1,1,4,4,4,4,4,4,4,4,4,3,3
"810",1,1,NA,NA,2,NA,4,5,7,7,1,6,2,4,4,1,NA
"811",1,NA,1,NA,1,NA,4,4,4,4,4,4,4,4,4,3,3
"812",1,NA,NA,1,2,NA,1,2,2,1,1,1,1,2,2,1,NA
"813",0,NA,NA,NA,4,4,2,1,3,2,5,2,5,4,1,2,NA
"814",1,NA,1,NA,4,NA,2,3,2,2,3,3,5,1,3,1,NA
"815",0,NA,NA,NA,4,4,3,3,3,3,5,3,5,3,3,4,3
"816",0,NA,NA,NA,3,3,4,3,3,2,6,5,3,3,3,1,NA
"817",0,NA,NA,NA,4,4,4,3,4,3,5,3,5,3,4,3,2
"818",1,1,NA,NA,4,NA,4,4,4,4,3,5,2,2,4,3,1
"819",0,NA,NA,NA,4,4,2,3,3,4,4,4,3,4,3,1,NA
"820",1,NA,1,NA,4,NA,1,4,5,5,3,4,4,5,4,1,NA
"821",0,NA,NA,NA,4,4,1,1,1,2,2,2,3,1,1,1,NA
"822",1,1,NA,NA,4,NA,3,2,5,5,3,4,3,3,3,1,NA
"823",0,NA,NA,NA,1,1,1,1,4,1,4,1,7,1,1,2,NA
"824",0,NA,NA,NA,3,3,4,2,1,3,4,3,4,4,4,1,NA
"825",1,NA,1,NA,2,NA,2,1,3,2,5,2,6,3,2,1,NA
"826",0,NA,NA,NA,4,4,2,7,3,4,6,4,4,2,2,3,3
"827",1,NA,1,NA,2,NA,3,3,4,5,3,4,4,3,3,3,3
"828",0,NA,NA,NA,4,4,4,2,2,3,4,3,4,3,2,1,NA
"829",1,NA,NA,1,3,NA,4,3,2,3,4,4,5,3,3,3,3
"830",0,NA,NA,NA,4,3,4,4,1,4,4,4,4,7,4,1,NA
"831",0,NA,NA,NA,3,3,3,4,4,4,4,4,4,4,4,3,3
"832",0,NA,NA,NA,4,3,2,3,2,3,2,2,2,2,2,2,NA
"833",1,1,NA,NA,1,NA,2,5,5,5,3,5,2,3,4,3,3
"834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835",0,NA,NA,NA,2,1,1,7,7,5,6,5,5,7,6,1,NA
"836",1,1,NA,NA,2,NA,7,5,7,5,2,6,1,4,5,1,NA
"837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839",0,NA,NA,NA,3,3,4,4,1,1,7,4,4,4,2,1,NA
"840",1,1,NA,NA,1,NA,2,3,4,4,3,4,5,3,3,1,NA
"841",1,NA,1,NA,4,NA,4,4,4,4,4,4,4,4,4,2,NA
"842",0,NA,NA,NA,1,1,3,3,1,3,2,2,3,3,2,2,NA
"843",1,NA,NA,1,2,NA,4,3,3,3,5,3,4,4,3,3,3
"844",0,NA,NA,NA,1,3,2,2,4,1,2,3,6,4,4,3,3
"845",1,NA,NA,1,1,NA,2,4,4,3,4,3,3,3,3,1,NA
"846",0,NA,NA,NA,4,4,4,3,3,3,5,3,5,3,4,3,2
"847",0,NA,NA,NA,1,1,2,3,3,3,5,3,2,4,3,2,NA
"848",0,NA,NA,NA,2,2,4,4,5,4,3,5,3,4,4,3,3
"849",0,NA,NA,NA,4,4,1,2,3,4,6,2,6,4,1,1,NA
"850",1,NA,1,NA,2,NA,2,3,7,3,1,7,5,1,1,1,NA
"851",1,NA,1,NA,1,NA,3,3,3,3,4,5,3,3,2,3,3
"852",1,NA,NA,1,3,NA,4,4,4,4,4,4,4,4,4,2,NA
"853",1,1,NA,NA,4,NA,4,5,4,2,6,3,3,3,4,1,NA
"854",1,NA,1,NA,1,NA,2,3,3,2,3,3,3,2,3,3,2
"855",0,NA,NA,NA,4,4,3,3,2,2,6,3,4,1,1,4,3
"856",0,NA,NA,NA,3,3,4,4,4,4,4,4,4,4,4,2,NA
"857",0,NA,NA,NA,2,2,4,2,3,2,3,4,3,3,1,1,NA
"858",0,NA,NA,NA,1,1,3,5,2,2,6,2,5,2,3,2,NA
"859",0,NA,NA,NA,4,1,4,7,7,7,1,7,1,7,6,1,NA
"860",1,NA,1,NA,4,NA,2,4,5,4,3,4,3,3,3,2,NA
"861",1,NA,1,NA,4,NA,4,4,3,3,3,6,1,4,3,3,2
"862",1,NA,NA,1,3,NA,4,3,3,3,5,3,5,3,3,1,NA
"863",1,NA,NA,1,2,NA,4,2,2,4,6,4,4,4,3,1,NA
"864",0,NA,NA,NA,4,1,4,5,5,4,2,6,4,3,5,3,2
"865",1,1,NA,NA,3,NA,2,1,4,2,4,3,5,1,3,4,3
"866",1,1,NA,NA,3,NA,3,4,4,4,4,4,5,3,4,1,NA
"867",0,NA,NA,NA,4,4,4,3,4,5,4,3,5,5,7,2,NA
"868",1,1,NA,NA,2,NA,2,5,6,6,5,5,5,5,5,1,NA
"869",0,NA,NA,NA,1,1,4,1,2,1,4,1,7,2,1,3,3
"870",0,NA,NA,NA,3,3,1,1,2,1,7,3,6,1,7,1,NA
"871",1,NA,NA,1,4,NA,4,4,4,4,4,4,4,4,4,1,NA
"872",1,NA,1,NA,4,NA,3,6,5,5,2,5,1,2,5,1,NA
"873",1,1,NA,NA,4,NA,2,2,4,3,4,3,2,2,1,3,3
"874",0,NA,NA,NA,4,1,3,5,6,4,2,5,5,3,4,1,NA
"875",0,NA,NA,NA,1,1,3,2,6,1,3,3,2,2,6,2,NA
"876",1,1,NA,NA,3,NA,3,3,5,3,4,4,3,3,3,4,3
"877",0,NA,NA,NA,3,3,3,1,3,4,5,4,3,4,4,3,2
"878",1,1,NA,NA,4,NA,3,3,4,4,4,3,5,3,3,1,NA
"879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880",1,NA,NA,1,4,NA,3,2,1,1,4,3,4,3,2,1,NA
"881",1,NA,1,NA,3,NA,7,3,5,4,3,4,5,5,4,1,NA
"882",0,NA,NA,NA,4,4,4,2,1,1,4,2,5,3,2,3,3
"883",0,NA,NA,NA,1,2,1,2,2,3,3,2,3,2,2,2,NA
"884",0,NA,NA,NA,3,3,1,3,3,3,5,4,5,4,3,2,NA
"885",1,NA,1,NA,1,NA,3,4,2,2,4,5,3,1,2,3,3
"886",1,1,NA,NA,4,NA,4,5,5,4,4,4,3,4,4,1,NA
"887",0,NA,NA,NA,4,4,4,3,3,3,5,3,4,2,3,2,NA
"888",0,NA,NA,NA,2,4,4,3,3,3,5,4,4,3,3,1,NA
"889",1,1,NA,NA,1,NA,4,1,1,1,4,4,4,4,1,2,NA
"890",0,NA,NA,NA,2,2,2,2,2,2,1,2,2,2,3,2,NA
"891",0,NA,NA,NA,3,2,3,4,3,4,4,4,5,3,4,1,NA
"892",0,NA,NA,NA,1,1,2,3,3,3,4,3,4,1,4,3,3
"893",0,NA,NA,NA,2,2,2,2,3,3,7,3,7,1,1,1,NA
"894",1,NA,NA,1,1,NA,4,2,4,3,5,3,2,5,2,1,NA
"895",1,NA,NA,1,1,NA,2,2,2,2,1,2,2,2,2,1,NA
"896",0,NA,NA,NA,3,3,4,4,2,4,5,4,4,4,4,1,NA
"897",1,NA,1,NA,1,NA,4,4,5,5,5,4,4,4,4,1,NA
"898",0,NA,NA,NA,1,1,3,1,2,1,3,3,4,1,1,3,3
"899",1,1,NA,NA,2,NA,4,5,6,7,2,6,1,5,5,1,NA
"900",1,NA,1,NA,1,NA,2,5,4,6,1,6,2,5,5,2,NA
"901",0,NA,NA,NA,3,3,4,3,2,2,6,3,4,4,3,1,NA
"902",1,NA,NA,1,2,NA,4,4,3,4,5,4,4,2,3,1,NA
"903",1,NA,NA,1,4,NA,2,2,2,3,3,2,2,2,2,1,NA
"904",1,1,NA,NA,1,NA,4,3,4,3,4,3,4,3,3,3,1
"905",0,NA,NA,NA,4,1,2,3,2,4,4,3,5,3,4,3,3
"906",1,1,NA,NA,2,NA,4,7,6,7,2,7,1,7,7,1,NA
"907",0,NA,NA,NA,4,4,4,5,4,1,7,3,5,3,7,3,3
"908",0,NA,NA,NA,3,2,4,3,5,3,3,3,5,3,3,1,NA
"909",0,NA,NA,NA,4,4,2,2,2,1,2,3,1,2,3,2,NA
"910",1,1,NA,NA,1,NA,2,1,4,1,5,3,5,1,1,3,1
"911",1,NA,1,NA,1,NA,2,2,2,2,5,3,6,1,1,4,3
"912",0,NA,NA,NA,4,4,3,4,1,4,6,2,5,3,2,3,3
"913",0,NA,NA,NA,2,2,3,2,2,2,4,2,4,3,4,1,NA
"914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915",0,NA,NA,NA,1,1,2,3,4,1,3,4,3,1,2,3,3
"916",1,NA,1,NA,2,NA,2,4,4,3,4,5,4,3,3,1,NA
"917",1,NA,NA,1,3,NA,3,3,2,3,6,4,5,2,3,2,NA
"918",1,NA,1,NA,1,NA,4,4,4,4,4,4,4,4,4,3,2
"919",1,NA,NA,1,4,NA,3,3,3,3,7,4,4,4,1,1,NA
"920",0,NA,NA,NA,4,4,1,2,1,1,7,3,3,1,1,4,3
"921",0,NA,NA,NA,4,4,4,1,1,1,7,3,7,3,1,2,NA
"922",0,NA,NA,NA,1,1,4,4,4,4,4,3,4,4,4,2,NA
"923",1,1,NA,NA,4,NA,4,5,5,5,3,5,3,4,4,1,NA
"924",1,NA,NA,1,4,NA,3,3,3,4,5,3,4,4,3,3,1
"925",1,1,NA,NA,4,NA,4,4,6,5,2,6,2,4,5,3,3
"926",0,NA,NA,NA,4,4,4,4,3,4,4,4,4,5,4,1,NA
"927",1,1,NA,NA,4,NA,4,4,6,4,2,6,1,4,6,3,2
"928",0,NA,NA,NA,1,1,4,4,5,4,3,5,3,4,6,3,3
"929",1,NA,1,NA,2,NA,1,1,1,1,3,2,7,2,1,1,NA
"930",1,NA,1,NA,1,NA,2,2,3,4,3,2,3,3,3,2,NA
"931",1,NA,1,NA,4,NA,3,4,4,4,4,3,4,3,4,1,NA
"932",1,1,NA,NA,1,NA,4,3,4,4,4,4,3,5,4,1,NA
"933",0,NA,NA,NA,1,1,1,1,1,1,3,3,2,2,1,1,NA
"934",0,NA,NA,NA,3,3,3,3,3,3,5,4,4,4,3,1,NA
"935",0,NA,NA,NA,4,4,2,2,2,2,5,4,4,3,3,3,3
"936",1,1,NA,NA,4,NA,3,4,4,4,4,3,5,4,3,3,1
"937",1,NA,NA,1,1,NA,4,5,4,2,4,5,2,5,6,1,NA
"938",0,NA,NA,NA,1,1,1,4,1,1,6,1,4,1,1,1,NA
"939",0,NA,NA,NA,2,1,3,4,4,4,4,4,4,4,4,1,NA
"940",0,NA,NA,NA,2,2,2,4,4,4,4,4,4,4,4,3,3
"941",1,NA,NA,1,2,NA,4,4,3,4,3,3,3,3,4,2,NA
"942",1,NA,NA,1,4,NA,3,3,3,3,5,3,4,3,3,3,1
"943",0,NA,NA,NA,1,1,2,1,2,1,4,3,5,1,1,3,1
"944",0,NA,NA,NA,2,3,2,5,3,6,3,4,5,3,3,2,NA
"945",1,NA,NA,1,4,NA,4,1,1,1,7,1,7,6,1,2,NA
"946",0,NA,NA,NA,4,4,3,4,3,4,5,4,4,5,3,4,1
"947",0,NA,NA,NA,2,2,3,4,5,3,3,5,1,3,3,1,NA
"948",1,NA,NA,1,2,NA,7,3,4,3,5,1,5,2,2,1,NA
"949",1,NA,1,NA,4,NA,4,4,5,5,3,4,3,5,3,3,1
"950",0,NA,NA,NA,1,1,3,1,3,2,5,2,5,1,1,2,NA
"951",0,NA,NA,NA,2,4,2,2,2,1,2,2,5,2,2,1,NA
"952",1,1,NA,NA,3,NA,4,3,3,4,4,3,3,2,3,4,3
"953",1,NA,1,NA,4,NA,3,4,4,4,4,4,4,4,4,3,3
"954",1,1,NA,NA,1,NA,4,4,4,4,4,4,4,4,2,2,NA
"955",0,NA,NA,NA,3,3,4,3,3,4,5,4,4,4,4,3,2
"956",0,NA,NA,NA,3,3,2,1,1,1,7,1,7,4,1,2,NA
"957",1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,3,3
"958",0,NA,NA,NA,4,4,4,2,3,4,5,3,3,2,3,3,1
"959",1,1,NA,NA,4,NA,3,1,3,1,3,3,2,1,1,3,2
"960",1,NA,NA,1,1,NA,3,4,4,5,3,5,2,3,5,2,NA
"961",0,NA,NA,NA,3,3,4,3,3,3,5,3,5,3,2,1,NA
"962",0,NA,NA,NA,1,1,4,3,4,4,3,5,3,4,3,1,NA
"963",1,NA,1,NA,4,NA,1,2,3,2,3,2,3,2,2,1,NA
"964",1,NA,1,NA,2,NA,1,1,2,1,7,2,5,1,2,1,NA
"965",1,NA,NA,1,4,NA,4,3,3,3,5,3,5,3,3,1,NA
"966",1,1,NA,NA,1,NA,3,4,4,4,4,4,4,4,4,2,NA
"967",0,NA,NA,NA,2,2,4,3,4,3,4,3,4,3,4,1,NA
"968",1,NA,NA,1,4,NA,2,3,3,3,5,3,3,3,4,4,2
"969",0,NA,NA,NA,3,3,4,4,2,3,6,5,5,4,2,1,NA
"970",0,NA,NA,NA,2,2,4,4,4,4,4,4,4,4,4,1,NA
"971",1,NA,1,NA,1,NA,4,6,7,6,1,6,1,6,6,2,NA
"972",0,NA,NA,NA,4,4,4,4,3,4,4,4,5,4,3,2,NA
"973",0,NA,NA,NA,4,4,4,2,3,3,5,3,5,3,3,2,NA
"974",0,NA,NA,NA,3,4,1,1,1,1,5,1,1,1,1,1,NA
"975",1,1,NA,NA,1,NA,2,2,2,1,4,3,4,1,1,2,NA
"976",1,NA,NA,1,1,NA,3,4,4,4,4,4,4,4,4,3,3
"977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978",0,NA,NA,NA,2,2,3,1,4,1,4,3,2,1,1,1,NA
"979",0,NA,NA,NA,1,4,3,4,NA,4,5,4,4,4,5,3,3
"980",0,NA,NA,NA,1,1,1,1,2,1,4,3,5,1,1,3,3
"981",1,NA,NA,1,3,NA,4,3,3,3,5,3,5,5,3,1,NA
"982",1,NA,1,NA,3,NA,4,4,5,3,3,4,5,3,4,2,NA
"983",0,NA,NA,NA,3,3,4,4,2,2,4,4,4,4,3,1,NA
"984",1,NA,NA,1,1,NA,4,2,2,4,6,3,4,4,3,2,NA
"985",1,NA,1,NA,1,NA,4,5,4,5,3,6,3,4,4,2,NA
"986",1,1,NA,NA,4,NA,7,5,4,4,3,3,5,3,3,4,3
"987",0,NA,NA,NA,2,2,2,3,1,2,5,3,4,1,1,1,NA
"988",0,NA,NA,NA,4,4,3,3,3,3,5,3,4,3,3,3,3
"989",1,NA,NA,1,1,NA,4,3,3,4,5,4,4,7,4,2,NA
"990",0,NA,NA,NA,2,3,3,3,2,3,4,4,4,4,3,1,NA
"991",1,NA,1,NA,1,NA,2,4,3,4,4,4,4,4,3,3,3
"992",1,NA,NA,1,4,NA,4,1,1,1,7,1,7,1,1,3,2
"993",0,NA,NA,NA,1,1,3,1,1,1,7,1,7,1,1,2,NA
"994",1,1,NA,NA,2,NA,1,3,5,3,3,5,3,3,2,1,NA
"995",0,NA,NA,NA,1,1,1,1,6,1,1,1,5,1,1,2,NA
"996",1,1,NA,NA,3,NA,3,4,3,3,3,5,4,2,5,3,1
"997",0,NA,NA,NA,3,3,3,3,2,2,4,3,4,5,3,3,3
"998",1,NA,1,NA,3,NA,1,2,3,3,4,3,3,3,3,3,3
"999",1,NA,1,NA,4,NA,4,5,3,3,3,5,3,3,3,3,3
"1000",1,1,NA,NA,4,NA,1,3,3,3,3,3,5,3,3,3,1
"1001",0,NA,NA,NA,4,4,2,5,6,2,6,2,5,3,2,1,NA
"1002",0,NA,NA,NA,4,4,3,5,3,5,5,3,4,6,2,1,NA
"1003",0,NA,NA,NA,4,4,3,3,2,3,4,4,4,2,4,1,NA
"1004",0,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,4,3,3
"1005",0,NA,NA,NA,2,2,1,5,5,4,3,5,3,2,4,4,2
"1006",1,NA,NA,1,4,NA,4,4,1,4,5,4,4,4,4,2,NA
"1007",0,NA,NA,NA,1,1,4,2,2,2,7,2,6,1,2,2,NA
"1008",1,NA,NA,1,4,NA,1,1,1,1,7,1,7,1,1,3,2
"1009",1,1,NA,NA,1,NA,4,3,4,4,4,5,3,4,3,1,NA
